channel_id	contact_id	stream_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nev_hi_freq_order	nev_hi_freq_type	nev_lo_freq_order	nev_lo_freq_type	nsx_hi_freq_order	nsx_lo_freq_order	nsx_hi_freq_type	nsx_lo_freq_type	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_LFC	electrode_reject_IFC	Unnamed: 27	connector_aligned_id	coordinates_x	coordinates_y	channel_type
0	1.0	1	1000	uV	chan1	../../../sourcedata/i140703-001.ns2	1	1	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	93.0	0.8	3.6	extracellular neuronal recordings
1	2.0	1	1000	uV	chan2	../../../sourcedata/i140703-001.ns2	1	2	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	92.0	0.4	3.6	extracellular neuronal recordings
2	3.0	1	1000	uV	chan3	../../../sourcedata/i140703-001.ns2	1	3	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	94.0	1.2	3.6	extracellular neuronal recordings
3	4.0	1	1000	uV	chan4	../../../sourcedata/i140703-001.ns2	1	4	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	95.0	1.6	3.6	extracellular neuronal recordings
4	5.0	1	1000	uV	chan5	../../../sourcedata/i140703-001.ns2	1	5	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	75.0	1.6	2.8	extracellular neuronal recordings
5	6.0	1	1000	uV	chan6	../../../sourcedata/i140703-001.ns2	1	6	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	96.0	2.0	3.6	extracellular neuronal recordings
6	7.0	1	1000	uV	chan7	../../../sourcedata/i140703-001.ns2	1	7	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	85.0	1.6	3.2	extracellular neuronal recordings
7	8.0	1	1000	uV	chan8	../../../sourcedata/i140703-001.ns2	1	8	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	97.0	2.4	3.6	extracellular neuronal recordings
8	9.0	1	1000	uV	chan9	../../../sourcedata/i140703-001.ns2	1	9	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	86.0	2.0	3.2	extracellular neuronal recordings
9	10.0	1	1000	uV	chan10	../../../sourcedata/i140703-001.ns2	1	10	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	98.0	2.8	3.6	extracellular neuronal recordings
