contact_id	probe_id	connector_aligned_id	hemisphere	x	y	spacial_unit	impedance	impedance_unit	location	material	insulation	contact_shape	radius
1	Prob-8596-001139	93	right	3.6	0.8	mm	73	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
2	Prob-8596-001139	92	right	3.6	0.4	mm	92	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
3	Prob-8596-001139	94	right	3.6	1.2	mm	68	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
4	Prob-8596-001139	95	right	3.6	1.6	mm	67	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
5	Prob-8596-001139	75	right	2.8	1.6	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
6	Prob-8596-001139	96	right	3.6	2	mm	57	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
7	Prob-8596-001139	85	right	3.2	1.6	mm	51	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
8	Prob-8596-001139	97	right	3.6	2.4	mm	61	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
9	Prob-8596-001139	86	right	3.2	2	mm	72	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
10	Prob-8596-001139	98	right	3.6	2.8	mm	57	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
11	Prob-8596-001139	87	right	3.2	2.4	mm	46	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
12	Prob-8596-001139	88	right	3.2	2.8	mm	41	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
13	Prob-8596-001139	77	right	2.8	2.4	mm	69	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
14	Prob-8596-001139	99	right	3.6	3.2	mm	44	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
15	Prob-8596-001139	66	right	2.4	2	mm	51	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
16	Prob-8596-001139	89	right	3.2	3.2	mm	46	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
17	Prob-8596-001139	76	right	2.8	2	mm	61	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
18	Prob-8596-001139	90	right	3.2	3.6	mm	47	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
19	Prob-8596-001139	67	right	2.4	2.4	mm	47	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
20	Prob-8596-001139	79	right	2.8	3.2	mm	44	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
21	Prob-8596-001139	58	right	2	2.8	mm	42	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
22	Prob-8596-001139	80	right	2.8	3.6	mm	43	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
23	Prob-8596-001139	78	right	2.8	2.8	mm	41	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
24	Prob-8596-001139	70	right	2.4	3.6	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
25	Prob-8596-001139	68	right	2.4	2.8	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
26	Prob-8596-001139	60	right	2	3.6	mm	45	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
27	Prob-8596-001139	69	right	2.4	3.2	mm	46	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
28	Prob-8596-001139	50	right	1.6	3.6	mm	44	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
29	Prob-8596-001139	59	right	2	3.2	mm	46	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
30	Prob-8596-001139	40	right	1.2	3.6	mm	45	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
31	Prob-8596-001139	49	right	1.6	3.2	mm	52	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
32	Prob-8596-001139	30	right	0.8	3.6	mm	51	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
33	Prob-8596-001139	83	right	3.2	0.8	mm	52	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
34	Prob-8596-001139	84	right	3.2	1.2	mm	69	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
35	Prob-8596-001139	73	right	2.8	0.8	mm	60	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
36	Prob-8596-001139	74	right	2.8	1.2	mm	76	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
37	Prob-8596-001139	63	right	2.4	0.8	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
38	Prob-8596-001139	64	right	2.4	1.2	mm	58	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
39	Prob-8596-001139	53	right	2	0.8	mm	47	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
40	Prob-8596-001139	54	right	2	1.2	mm	54	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
