channel_id	contact_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_ids	coordinates_x	coordinates_y	channel_type
137		1000	uV	ainp9	../../../sourcedata/l101210-001.ns2	5	9	21516	0	2												behavioural signals
138		1000	uV	ainp10	../../../sourcedata/l101210-001.ns2	5	10	21516	0	2												behavioural signals
139		1000	uV	ainp11	../../../sourcedata/l101210-001.ns2	5	11	21516	0	2												behavioural signals
140		1000	uV	ainp12	../../../sourcedata/l101210-001.ns2	5	12	21516	0	2												behavioural signals
141		1000	uV	ainp13	../../../sourcedata/l101210-001.ns2	5	13	21516	0	2												behavioural signals
143		1000	uV	ainp15	../../../sourcedata/l101210-001.ns2	5	15	21516	0	2												behavioural signals
1	1.0	30000	uV	chan1	../../../sourcedata/l101210-001.ns5	1	1	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	91.0	0.0	3.6	extracellular neuronal recordings
2	2.0	30000	uV	chan2	../../../sourcedata/l101210-001.ns5	1	2	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	True	92.0	0.4	3.6	extracellular neuronal recordings
3	3.0	30000	uV	chan3	../../../sourcedata/l101210-001.ns5	1	3	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	94.0	1.2	3.6	extracellular neuronal recordings
4	4.0	30000	uV	chan4	../../../sourcedata/l101210-001.ns5	1	4	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	True	1.0	0.0	0.0	extracellular neuronal recordings
5	5.0	30000	uV	chan5	../../../sourcedata/l101210-001.ns5	1	5	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	75.0	1.6	2.8	extracellular neuronal recordings
6	6.0	30000	uV	chan6	../../../sourcedata/l101210-001.ns5	1	6	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	96.0	2.0	3.6	extracellular neuronal recordings
7	7.0	30000	uV	chan7	../../../sourcedata/l101210-001.ns5	1	7	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	85.0	1.6	3.2	extracellular neuronal recordings
8	8.0	30000	uV	chan8	../../../sourcedata/l101210-001.ns5	1	8	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	97.0	2.4	3.6	extracellular neuronal recordings
9	9.0	30000	uV	chan9	../../../sourcedata/l101210-001.ns5	1	9	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	86.0	2.0	3.2	extracellular neuronal recordings
10	10.0	30000	uV	chan10	../../../sourcedata/l101210-001.ns5	1	10	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	98.0	2.8	3.6	extracellular neuronal recordings
11	11.0	30000	uV	chan11	../../../sourcedata/l101210-001.ns5	1	11	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	87.0	2.4	3.2	extracellular neuronal recordings
12	12.0	30000	uV	chan12	../../../sourcedata/l101210-001.ns5	1	12	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	88.0	2.8	3.2	extracellular neuronal recordings
13	13.0	30000	uV	chan13	../../../sourcedata/l101210-001.ns5	1	13	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	77.0	2.4	2.8	extracellular neuronal recordings
14	14.0	30000	uV	chan14	../../../sourcedata/l101210-001.ns5	1	14	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	99.0	3.2	3.6	extracellular neuronal recordings
15	15.0	30000	uV	chan15	../../../sourcedata/l101210-001.ns5	1	15	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	66.0	2.0	2.4	extracellular neuronal recordings
16	16.0	30000	uV	chan16	../../../sourcedata/l101210-001.ns5	1	16	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	89.0	3.2	3.2	extracellular neuronal recordings
17	17.0	30000	uV	chan17	../../../sourcedata/l101210-001.ns5	1	17	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	76.0	2.0	2.8	extracellular neuronal recordings
