contact_id	probe_id	connector_aligned_id	hemisphere	x	y	z	spacial_unit	impedance	impedance_unit	location	material	insulation	contact_shape	radius
1	Prob-1025-0503	91	right	3.6	0	1.5	mm	52	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
2	Prob-1025-0503	92	right	3.6	0.4	1.5	mm	44	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
3	Prob-1025-0503	94	right	3.6	1.2	1.5	mm	50	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
4	Prob-1025-0503	1	right	0	0	1.5	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
5	Prob-1025-0503	75	right	2.8	1.6	1.5	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
6	Prob-1025-0503	96	right	3.6	2	1.5	mm	46	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
7	Prob-1025-0503	85	right	3.2	1.6	1.5	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
8	Prob-1025-0503	97	right	3.6	2.4	1.5	mm	47	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
9	Prob-1025-0503	86	right	3.2	2	1.5	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
10	Prob-1025-0503	98	right	3.6	2.8	1.5	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
11	Prob-1025-0503	87	right	3.2	2.4	1.5	mm	50	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
12	Prob-1025-0503	88	right	3.2	2.8	1.5	mm	50	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
13	Prob-1025-0503	77	right	2.8	2.4	1.5	mm	41	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
14	Prob-1025-0503	99	right	3.6	3.2	1.5	mm	53	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
15	Prob-1025-0503	66	right	2.4	2	1.5	mm	46	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
16	Prob-1025-0503	89	right	3.2	3.2	1.5	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
17	Prob-1025-0503	76	right	2.8	2	1.5	mm	50	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
18	Prob-1025-0503	100	right	3.6	3.6	1.5	mm	55	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
19	Prob-1025-0503	67	right	2.4	2.4	1.5	mm	52	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
20	Prob-1025-0503	79	right	2.8	3.2	1.5	mm	47	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
21	Prob-1025-0503	58	right	2	2.8	1.5	mm	55	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
22	Prob-1025-0503	10	right	0	3.6	1.5	mm	57	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
23	Prob-1025-0503	78	right	2.8	2.8	1.5	mm	45	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
24	Prob-1025-0503	70	right	2.4	3.6	1.5	mm	53	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
25	Prob-1025-0503	68	right	2.4	2.8	1.5	mm	47	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
26	Prob-1025-0503	60	right	2	3.6	1.5	mm	52	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
27	Prob-1025-0503	69	right	2.4	3.2	1.5	mm	46	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
28	Prob-1025-0503	50	right	1.6	3.6	1.5	mm	53	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
29	Prob-1025-0503	59	right	2	3.2	1.5	mm	52	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
30	Prob-1025-0503	40	right	1.2	3.6	1.5	mm	51	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
31	Prob-1025-0503	49	right	1.6	3.2	1.5	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
32	Prob-1025-0503	30	right	0.8	3.6	1.5	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
33	Prob-1025-0503	83	right	3.2	0.8	1.5	mm	44	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
34	Prob-1025-0503	84	right	3.2	1.2	1.5	mm	45	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
35	Prob-1025-0503	73	right	2.8	0.8	1.5	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
36	Prob-1025-0503	74	right	2.8	1.2	1.5	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
37	Prob-1025-0503	63	right	2.4	0.8	1.5	mm	47	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
38	Prob-1025-0503	64	right	2.4	1.2	1.5	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
39	Prob-1025-0503	53	right	2	0.8	1.5	mm	46	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
40	Prob-1025-0503	54	right	2	1.2	1.5	mm	43	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
41	Prob-1025-0503	43	right	1.6	0.8	1.5	mm	45	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
42	Prob-1025-0503	55	right	2	1.6	1.5	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
43	Prob-1025-0503	44	right	1.6	1.2	1.5	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
