channel_id	contact_id	type	units	sampling_frequency	unit_conversion_multiplier
0	0	neural signal	volts	20000.0	1.9499999999999999e-07
1	1	neural signal	volts	20000.0	1.9499999999999999e-07
2	2	neural signal	volts	20000.0	1.9499999999999999e-07
3	3	neural signal	volts	20000.0	1.9499999999999999e-07
4	4	neural signal	volts	20000.0	1.9499999999999999e-07
5	5	neural signal	volts	20000.0	1.9499999999999999e-07
6	6	neural signal	volts	20000.0	1.9499999999999999e-07
7	7	neural signal	volts	20000.0	1.9499999999999999e-07
8	8	neural signal	volts	20000.0	1.9499999999999999e-07
9	9	neural signal	volts	20000.0	1.9499999999999999e-07
10	10	neural signal	volts	20000.0	1.9499999999999999e-07
11	11	neural signal	volts	20000.0	1.9499999999999999e-07
12	12	neural signal	volts	20000.0	1.9499999999999999e-07
13	13	neural signal	volts	20000.0	1.9499999999999999e-07
14	14	neural signal	volts	20000.0	1.9499999999999999e-07
15	15	neural signal	volts	20000.0	1.9499999999999999e-07
16	16	neural signal	volts	20000.0	1.9499999999999999e-07
17	17	neural signal	volts	20000.0	1.9499999999999999e-07
18	18	neural signal	volts	20000.0	1.9499999999999999e-07
19	19	neural signal	volts	20000.0	1.9499999999999999e-07
20	20	neural signal	volts	20000.0	1.9499999999999999e-07
21	21	neural signal	volts	20000.0	1.9499999999999999e-07
22	22	neural signal	volts	20000.0	1.9499999999999999e-07
23	23	neural signal	volts	20000.0	1.9499999999999999e-07
24	24	neural signal	volts	20000.0	1.9499999999999999e-07
25	25	neural signal	volts	20000.0	1.9499999999999999e-07
26	26	neural signal	volts	20000.0	1.9499999999999999e-07
27	27	neural signal	volts	20000.0	1.9499999999999999e-07
28	28	neural signal	volts	20000.0	1.9499999999999999e-07
29	29	neural signal	volts	20000.0	1.9499999999999999e-07
30	30	neural signal	volts	20000.0	1.9499999999999999e-07
31	31	neural signal	volts	20000.0	1.9499999999999999e-07
32	32	neural signal	volts	20000.0	1.9499999999999999e-07
33	33	neural signal	volts	20000.0	1.9499999999999999e-07
34	34	neural signal	volts	20000.0	1.9499999999999999e-07
35	35	neural signal	volts	20000.0	1.9499999999999999e-07
36	36	neural signal	volts	20000.0	1.9499999999999999e-07
37	37	neural signal	volts	20000.0	1.9499999999999999e-07
38	38	neural signal	volts	20000.0	1.9499999999999999e-07
39	39	neural signal	volts	20000.0	1.9499999999999999e-07
40	40	neural signal	volts	20000.0	1.9499999999999999e-07
41	41	neural signal	volts	20000.0	1.9499999999999999e-07
42	42	neural signal	volts	20000.0	1.9499999999999999e-07
43	43	neural signal	volts	20000.0	1.9499999999999999e-07
44	44	neural signal	volts	20000.0	1.9499999999999999e-07
45	45	neural signal	volts	20000.0	1.9499999999999999e-07
46	46	neural signal	volts	20000.0	1.9499999999999999e-07
47	47	neural signal	volts	20000.0	1.9499999999999999e-07
48	48	neural signal	volts	20000.0	1.9499999999999999e-07
49	49	neural signal	volts	20000.0	1.9499999999999999e-07
50	50	neural signal	volts	20000.0	1.9499999999999999e-07
51	51	neural signal	volts	20000.0	1.9499999999999999e-07
52	52	neural signal	volts	20000.0	1.9499999999999999e-07
53	53	neural signal	volts	20000.0	1.9499999999999999e-07
54	54	neural signal	volts	20000.0	1.9499999999999999e-07
55	55	neural signal	volts	20000.0	1.9499999999999999e-07
56	56	neural signal	volts	20000.0	1.9499999999999999e-07
57	57	neural signal	volts	20000.0	1.9499999999999999e-07
58	58	neural signal	volts	20000.0	1.9499999999999999e-07
59	59	neural signal	volts	20000.0	1.9499999999999999e-07
60	60	neural signal	volts	20000.0	1.9499999999999999e-07
61	61	neural signal	volts	20000.0	1.9499999999999999e-07
62	62	neural signal	volts	20000.0	1.9499999999999999e-07
63	63	neural signal	volts	20000.0	1.9499999999999999e-07
