impedance	contact_id	probe_id	Location
-1.0	0	Device	unknown
-1.0	1	Device	unknown
-1.0	2	Device	unknown
-1.0	3	Device	unknown
-1.0	4	Device	unknown
-1.0	5	Device	unknown
-1.0	6	Device	unknown
-1.0	7	Device	unknown
-1.0	8	Device	unknown
-1.0	9	Device	unknown
-1.0	10	Device	unknown
-1.0	11	Device	unknown
-1.0	12	Device	unknown
-1.0	13	Device	unknown
-1.0	14	Device	unknown
-1.0	15	Device	unknown
-1.0	16	Device	unknown
-1.0	17	Device	unknown
-1.0	18	Device	unknown
-1.0	19	Device	unknown
-1.0	20	Device	unknown
-1.0	21	Device	unknown
-1.0	22	Device	unknown
-1.0	23	Device	unknown
-1.0	24	Device	unknown
-1.0	25	Device	unknown
-1.0	26	Device	unknown
-1.0	27	Device	unknown
-1.0	28	Device	unknown
-1.0	29	Device	unknown
-1.0	30	Device	unknown
-1.0	31	Device	unknown
-1.0	32	Device	unknown
-1.0	33	Device	unknown
-1.0	34	Device	unknown
-1.0	35	Device	unknown
-1.0	36	Device	unknown
-1.0	37	Device	unknown
-1.0	38	Device	unknown
-1.0	39	Device	unknown
-1.0	40	Device	unknown
-1.0	41	Device	unknown
-1.0	42	Device	unknown
-1.0	43	Device	unknown
-1.0	44	Device	unknown
-1.0	45	Device	unknown
-1.0	46	Device	unknown
-1.0	47	Device	unknown
-1.0	48	Device	unknown
-1.0	49	Device	unknown
-1.0	50	Device	unknown
-1.0	51	Device	unknown
-1.0	52	Device	unknown
-1.0	53	Device	unknown
-1.0	54	Device	unknown
-1.0	55	Device	unknown
-1.0	56	Device	unknown
-1.0	57	Device	unknown
-1.0	58	Device	unknown
-1.0	59	Device	unknown
-1.0	60	Device	unknown
-1.0	61	Device	unknown
-1.0	62	Device	unknown
-1.0	63	Device	unknown
