impedance	contact_id	probe_id	Location
-1.0	0	Device	unknown
-1.0	1	Device	unknown
-1.0	2	Device	unknown
-1.0	3	Device	unknown
-1.0	4	Device	unknown
-1.0	5	Device	unknown
-1.0	6	Device	unknown
-1.0	7	Device	unknown
-1.0	8	Device	unknown
-1.0	9	Device	unknown
-1.0	10	Device	unknown
-1.0	11	Device	unknown
-1.0	12	Device	unknown
-1.0	13	Device	unknown
-1.0	14	Device	unknown
-1.0	15	Device	unknown
-1.0	16	Device	unknown
-1.0	17	Device	unknown
-1.0	18	Device	unknown
-1.0	19	Device	unknown
-1.0	20	Device	unknown
-1.0	21	Device	unknown
-1.0	22	Device	unknown
-1.0	23	Device	unknown
-1.0	24	Device	unknown
-1.0	25	Device	unknown
-1.0	26	Device	unknown
-1.0	27	Device	unknown
-1.0	28	Device	unknown
-1.0	29	Device	unknown
-1.0	30	Device	unknown
-1.0	31	Device	unknown
-1.0	32	Device	unknown
-1.0	33	Device	unknown
-1.0	34	Device	unknown
-1.0	35	Device	unknown
-1.0	36	Device	unknown
-1.0	37	Device	unknown
-1.0	38	Device	unknown
-1.0	39	Device	unknown
-1.0	40	Device	unknown
-1.0	41	Device	unknown
-1.0	42	Device	unknown
-1.0	43	Device	unknown
-1.0	44	Device	unknown
-1.0	45	Device	unknown
-1.0	46	Device	unknown
-1.0	47	Device	unknown
-1.0	48	Device	unknown
-1.0	49	Device	unknown
-1.0	50	Device	unknown
-1.0	51	Device	unknown
-1.0	52	Device	unknown
-1.0	53	Device	unknown
-1.0	54	Device	unknown
-1.0	55	Device	unknown
-1.0	56	Device	unknown
-1.0	57	Device	unknown
-1.0	58	Device	unknown
-1.0	59	Device	unknown
-1.0	60	Device	unknown
-1.0	61	Device	unknown
-1.0	62	Device	unknown
-1.0	63	Device	unknown
-1.0	64	Device	unknown
-1.0	65	Device	unknown
-1.0	66	Device	unknown
-1.0	67	Device	unknown
-1.0	68	Device	unknown
-1.0	69	Device	unknown
-1.0	70	Device	unknown
-1.0	71	Device	unknown
-1.0	72	Device	unknown
-1.0	73	Device	unknown
-1.0	74	Device	unknown
-1.0	75	Device	unknown
-1.0	76	Device	unknown
-1.0	77	Device	unknown
-1.0	78	Device	unknown
-1.0	79	Device	unknown
-1.0	80	Device	unknown
-1.0	81	Device	unknown
-1.0	82	Device	unknown
-1.0	83	Device	unknown
-1.0	84	Device	unknown
-1.0	85	Device	unknown
-1.0	86	Device	unknown
-1.0	87	Device	unknown
-1.0	88	Device	unknown
-1.0	89	Device	unknown
-1.0	90	Device	unknown
-1.0	91	Device	unknown
-1.0	92	Device	unknown
-1.0	93	Device	unknown
-1.0	94	Device	unknown
-1.0	95	Device	unknown
-1.0	96	Device	unknown
-1.0	97	Device	unknown
-1.0	98	Device	unknown
-1.0	99	Device	unknown
-1.0	100	Device	unknown
-1.0	101	Device	unknown
-1.0	102	Device	unknown
-1.0	103	Device	unknown
-1.0	104	Device	unknown
-1.0	105	Device	unknown
-1.0	106	Device	unknown
-1.0	107	Device	unknown
-1.0	108	Device	unknown
-1.0	109	Device	unknown
-1.0	110	Device	unknown
-1.0	111	Device	unknown
-1.0	112	Device	unknown
-1.0	113	Device	unknown
-1.0	114	Device	unknown
-1.0	115	Device	unknown
-1.0	116	Device	unknown
-1.0	117	Device	unknown
-1.0	118	Device	unknown
-1.0	119	Device	unknown
-1.0	120	Device	unknown
-1.0	121	Device	unknown
-1.0	122	Device	unknown
-1.0	123	Device	unknown
-1.0	124	Device	unknown
-1.0	125	Device	unknown
-1.0	126	Device	unknown
-1.0	127	Device	unknown
